1,9,Take-Attendance,Main/attendance_class_controller,1,ra
2,9,View-Consolidate,Main/attendance_report_student_controller,1,ra
3,9,View-Daywise,Main/attendance_view_controller,1,ra
4,9,View-Total,Main/attendance_report_student_controller,1,ra
5,10,View-Consolidate,Main/attendance_report_student_controller,1,ra
6,10,View-Daywise,Main/attendance_report_student_controller,1,ra
7,10,View-Total,Main/attendance_report_student_controller,1,ra
8,14,Edit,test/index,1,ra
9,14,View,Test/viewmarks,1,ra
10,15,Given-Assignment,assignmentcontroller/index,1,ra
11,15,View-Assignment,givenassignmentcontroller/index,1,ra
12,15,Check-Assignment,check_assignment_controller/index,1,ra
13,15,View-Check-Assignment,update_assignment_controller/index,1,ra
14,16,View,Check_assign_report_controller/marks1,1,ra
15,17,View-Assignment,assign_report_controller/index,1,ra
16,17,View-Checked-Assignment,check_assign_report_controller/index,1,ra
17,18,Edit-Timetable,nitin/index,1,ra
18,18,View-Timetable,viewtimetablecontroller/index,1,ra
19,19,Edit-Timetable,studenttimetableeditcontroller/index,1,ra
20,19,View-Timetable,studenttimetableviewcontroller/index,1,ra
21,20,View-Timetable,studenttimetableviewcontroller/index,1,ra
22,11,Edit,Edit_controller/index,1,ra
23,11,View,Edit_controller/view_lecture_div,1,ra
24,12,Edit,Lessonedit_controller/index,1,ra
25,12,View,Lessonview_controller/index,1,ra
26,13,Edit,Weeklyedit_controller/index,1,ra
27,13,View,Weeklyview_controller/index,1,ra
